;  St Agnes - flood
                                              
                                              
                                              
  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%  
  %.P......................................%  
  %........................................%  
  %..%######D######%..%%######D######%%%%..%  
  %..%#B..B..B..B.#%..% #B..B..B..B.#   %..%  
  %..%#...........#%..% #...........#   %..%  
  %..%#...........#%..% #......G....#   %..%  
  %..%#.LR.CA..L..#%..% #.L...A..L..#   %..%  
  %..%#...........#%..% #...........#   %..%  
  %..%#...........#%..% #...........#   %..%  
  %..%#B..B..B..B.#%..% #B..B..B..B.#   %..%  
  %..%#############%..% ########=========..%  
  %..%             %..%         =.......=..%  
  %..%             %.R%         =.R.....=..%  
  %..%             %..%         =...N...D..%  
  %..%             %..%         =.......=..%  
  %..%#############%..% ########=========..%  
  %..%#B..B..B..B.#%..% #B..B..B..B.#   %..%  
  %..%#...........#%..% #...........#   %..%  
  %..%#...........#%..% #...........#   %..%  
  %..%#.L...A..L..#%..% #.L..CA..L..#   %..%  
  %..%#...W.......#%..% #...........#   %..%  
  %..%#...........#%..% #...........#   %..%  
  %..%#B..B..B..B.#%..% #B..B..B..B.#   %..%  
  %..%######D######%..%%######D######%%%%..%  
  %........................................%  
  %.X....................................M.%  
  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%  
                                              
                                              
                                              
